ShefId,StationName,StationId,StateCode,Elevation,DCO,ForecastGroup,Notes,SnowAnalysis
MYRI1,Myrtle Creek,1053,ID,3520,Boise,UC_KOOT,,"UC_KOOT, PO_MAIN"
PMNM8,Poorman Creek,932,MT,5100,Bozeman,UC_KOOT,,"UC_KOOT, UC_SPOK, PO_MAIN"
STAM8,Stahl Peak,787,MT,6030,Bozeman,UC_KOOT,,"UC_KOOT, PO_FLAT"
HUGI1,Humboldt Gulch,535,ID,4250,Boise,UC_SPOK,,"UC_SPOK, PO_CLARK, PO_MAIN"
LKTI1,Lookout,594,ID,5190,Boise,UC_SPOK,,"UC_SPOK, PO_CLARK, PO_MAIN"
MCKI1,Mica Creek,623,ID,4510,Boise,UC_SPOK,,"UC_SPOK, LS_CLEAR, LS_TRIBS"
MOQI1,Mosquito Ridge,645,ID,5260,Boise,UC_SPOK,,"UC_SPOK, PO_MAIN, UC_KOOT"
QUPW1,Quartz Peak,707,WA,4700,Boise,UC_SPOK,,"UC_SPOK, PO_MAIN"
RAGI1,Ragged Mountain,1081,ID,4210,Boise,UC_SPOK,,"UC_SPOK, PO_MAIN"
SHWI1,Sherwin,752,ID,3200,Boise,UC_SPOK,,"UC_SPOK, LS_TRIB, LS_CLEAR"
SNSI1,Sunset,803,ID,5540,Boise,UC_SPOK,,"UC_SPOK, PO_MAIN, PO_CLARK"
CHIM8,Chicago Ridge,1312,MT,5800,Bozeman,UC_SPOK,,NONE
GAXW1,Gold Axe Camp,1159,WA,5360,Portland,UC_MAIN,,NONE
GLDW1,Gold Mountain,1256,WA,4390,Portland,UC_MAIN,,NONE
MMSW1,Moses Mtn,644,WA,5010,Portland,UC_MAIN,,UC_MAIN
SENW1,Sentinel Butte,1043,WA,4680,Portland,UC_MAIN,,UC_MAIN
BLBM8,Black Bear,347,MT,8170,Bozeman,US_HENRY,,US_HENRY
CRRM8,Carrot Basin,385,MT,9000,Bozeman,US_HENRY,,US_HENRY
GRSW4,Grassy Lake,499,WY,7265,Boise,US_HENRY,,"US_HENRY, US_MAIN"
ISPI1,Island Park,546,ID,6290,Boise,US_HENRY,,US_HENRY
LVRM8,Lakeview Ridge,568,MT,7400,Bozeman,US_HENRY,,NONE
MPLM8,Madison Plateau,609,MT,7750,Bozeman,US_HENRY,,US_HENRY
PCPI1,Pine Creek Pass,695,ID,6720,Boise,US_HENRY,,"US_HENRY, US_MAIN, _US_TRIB"
TPEM8,Tepee Creek,813,MT,8000,Bozeman,US_HENRY,,US_HENRY
WYSM8,West Yellowstone,924,MT,6700,Bozeman,US_HENRY,,US_HENRY
WSKM8,Whiskey Creek,858,MT,6800,Bozeman,US_HENRY,,US_HENRY
WHEI1,White Elephant,860,ID,7710,Boise,US_HENRY,,US_HENRY
BSCW4,Base Camp,314,WY,7060,Boise,US_TRIB_East,,"US_TRIB, US_MAIN"
GTHW4,Grand Targhee,1082,WY,9260,Boise,US_TRIB_East,,"US_TRIB, US_MAIN, US_HENRY"
GRCW4,Granite Creek,497,WY,6770,Boise,US_TRIB_East,,"US_TRIB, US_MAIN"
GRVW4,Gros Ventre Summit,506,WY,8750,Boise,US_TRIB_East,,"US_TRIB, US_MAIN"
GUNW4,Gunsight Pass,944,WY,9820,Boise,US_TRIB_East,,US_TRIB
KNDW4,Kendall R.S.,555,WY,7740,Boise,US_TRIB_East,,"US_TRIB, US_MAIN"
LWSW4,Lewis Lake Divide,577,WY,7850,Boise,US_TRIB_East,,"US_TRIB, US_HENRY, US_MAIN"
LTWW4,Little Warm,585,WY,9370,Bozeman,US_TRIB_East,,US_TRIB
LOPW4,Loomis Park,597,WY,8240,Boise,US_TRIB_East,,"US_TRIB, US_MAIN"
PHBW4,Phillips Bench,689,WY,8200,Boise,US_TRIB_East,,"US_TRIB, US_MAIN"
SKRW4,Snake River Station,764,WY,6920,Boise,US_TRIB_East,,"US_TRIB, US_HENRY, US_MAIN"
TOGW4,Togwotee Pass,822,WY,9580,Bozeman,US_TRIB_East,,"US_TRIB, US_MAIN"
TOPW4,Two Ocean Plateau,837,WY,9240,Boise,US_TRIB_East,,"US_TRIB, US_MAIN"
YOUW4,Younts Peak,878,WY,8350,Bozeman,US_TRIB_East,,US_TRIB
BBSW4,Blind Bull Sum,353,WY,8650,Boise,US_TRIB_Mid,,"US_MAIN, US_TRIB"
CLWW4,Cottonwood Creek,419,WY,7670,Boise,US_TRIB_Mid,,US_TRIB
INCW4,Indian Creek,544,WY,9425,Boise,US_TRIB_Mid,,NONE
KLLW4,Kelley R.S.,554,WY,8180,Boise,US_TRIB_Mid,,NONE
SLTW4,Salt River Summit,730,WY,7640,Boise,US_TRIB_Mid,,US_TRIB
SPMI1,Sheep Mtn.,749,ID,6650,Boise,US_TRIB_Mid,,"US_TRIB, US_MAIN"
SLGI1,Slug Creek Divide,761,ID,7225,Boise,US_TRIB_Mid,,NONE
SNIW4,Snider Basin,765,WY,8060,Boise,US_TRIB_Mid,,US_TRIB
SORI1,Somsen Ranch,770,ID,6800,Boise,US_TRIB_Mid,,"US_TRIB, US_MAIN"
SCDW4,Spring Creek Divide,779,WY,9000,Boise,US_TRIB_Mid,,US_TRIB
TRPW4,Triple Peak,831,WY,8500,Boise,US_TRIB_Mid,,US_TRIB
WILW4,Willow Creek,868,WY,8080,Boise,US_TRIB_Mid,,"US_TRIB, US_MAIN"
GIVI1,Giveout,493,ID,6930,Boise,US_TRIB_West,,US_TRIB
OXSI1,Oxford Spring,677,ID,6740,Boise,US_TRIB_West,,"US_TRIB, US_MAIN"
SEPI1,Sedgwick Peak,741,ID,7850,Boise,US_TRIB_West,,"US_TRIB, US_MAIN"
WHDI1,Wildhorse Divide,867,ID,6490,Boise,US_TRIB_West,,"US_TRIB, US_MAIN"
PEBI1,Pebble Creek,1299,ID,6513,Boise,US_TRIB_West,,NONE
GECU1,George Creek,1151,UT,8964,Salt Lake,US_MAIN,,NONE
CANW4,Canyon,384,WY,7870,Bozeman,US_MAIN,,US_MAIN
CRBI1,Crab Creek,424,ID,6900,Boise,US_MAIN,,NONE
ERDW4,East Rim Divide,460,WY,7930,Boise,US_MAIN,,US_MAIN
HWCI1,Howell Canyon,534,ID,7980,Boise,US_MAIN,,NONE
THUW4,Thumb Divide,816,WY,7980,Boise,US_MAIN,,US_MAIN
BERN2,Bear Creek,321,NV,8040,Boise,MS_TRIB_Bruneau,,"MS_TRIB, WS"
DRCN2,Draw Creek,454,NV,7285,Salt Lake,MS_TRIB_Bruneau,,"MS_TRIB, WS"
PRSN2,Pole Creek R.S.,698,NV,8360,Boise,MS_TRIB_Bruneau,,WS
SSCN2,Seventysix Creek,746,NV,7350,Salt Lake,MS_TRIB_Bruneau,,"MS_TRIB, WS"
WLCI1,Wilson Creek,871,ID,7120,Boise,MS_TRIB_Bruneau,,"MS_TRIB, WS"
ONLN2,Oneil Creek,1272,NV,6520,Salt Lake,MS_TRIB_Bruneau,,NONE
BECI1,Bear Canyon,320,ID,7900,Boise,MS_TRIB_Lost_Wood,,MS_TRIB
CCDI1,Camas Creek Divide,382,ID,5710,Boise,MS_TRIB_Lost_Wood,,"MS_TRIB, MS_MOB"
CHOI1,Chocolate Gulch,895,ID,6310,Boise,MS_TRIB_Lost_Wood,,MS_TRIB
DHDI1,Dollarhide Summit,450,ID,8420,Boise,MS_TRIB_Lost_Wood,,"MS_TRIB, MS_MOB"
GLNI1,Galena,489,ID,7470,Boise,MS_TRIB_Lost_Wood,,"MS_TRIB, LS_SALMN, MS_MOB, MS_PAYET"
GLSI1,Galena Summit,490,ID,8780,Boise,MS_TRIB_Lost_Wood,,"MS_TRIB, LS_SALMN, MS_MOB, MS_PAYET"
GARI1,Garfield R.S.,492,ID,6560,Boise,MS_TRIB_Lost_Wood,,MS_TRIB
